open,high,low,close,volume,name,exchange_code,asset_type,price_currency,symbol,date,etl_load_timestamp,data_source
210.43,213.4,209.0,212.93,51759900.0,Apple Inc,NASDAQ,Stock,USD,AAPL,2025-05-13 00:00:00+00:00,2025-10-06 10:28:32.648424,marketstack_api
212.43,213.94,210.58,212.33,49253000.0,Apple Inc,NASDAQ,Stock,USD,AAPL,2025-05-14 00:00:00+00:00,2025-10-06 10:28:32.648424,marketstack_api
210.95,212.96,209.54,211.45,44979900.0,Apple Inc,NASDAQ,Stock,USD,AAPL,2025-05-15 00:00:00+00:00,2025-10-06 10:28:32.648424,marketstack_api
212.36,212.57,209.77,211.26,53659100.0,Apple Inc,NASDAQ,Stock,USD,AAPL,2025-05-16 00:00:00+00:00,2025-10-06 10:28:32.648424,marketstack_api
207.91,209.48,204.26,208.78,45310800.0,Apple Inc,NASDAQ,Stock,USD,AAPL,2025-05-19 00:00:00+00:00,2025-10-06 10:28:32.648424,marketstack_api
207.67,208.47,205.03,206.86,42443700.0,Apple Inc,NASDAQ,Stock,USD,AAPL,2025-05-20 00:00:00+00:00,2025-10-06 10:28:32.648424,marketstack_api
205.17,207.04,200.71,202.09,59134800.0,Apple Inc,NASDAQ,Stock,USD,AAPL,2025-05-21 00:00:00+00:00,2025-10-06 10:28:32.648424,marketstack_api
200.71,202.75,199.7,201.36,46633900.0,Apple Inc,NASDAQ,Stock,USD,AAPL,2025-05-22 00:00:00+00:00,2025-10-06 10:28:32.648424,marketstack_api
193.665,197.7,193.46,195.27,78432918.0,Apple Inc,NASDAQ,Stock,USD,AAPL,2025-05-23 00:00:00+00:00,2025-10-06 10:28:32.648424,marketstack_api
198.3,200.74,197.43,200.21,56229000.0,Apple Inc,NASDAQ,Stock,USD,AAPL,2025-05-27 00:00:00+00:00,2025-10-06 10:28:32.648424,marketstack_api
200.59,202.73,199.9,200.42,44158300.0,Apple Inc,NASDAQ,Stock,USD,AAPL,2025-05-28 00:00:00+00:00,2025-10-06 10:28:32.648424,marketstack_api
203.575,203.78,198.51,199.95,51174958.0,Apple Inc,NASDAQ,Stock,USD,AAPL,2025-05-29 00:00:00+00:00,2025-10-06 10:28:32.648424,marketstack_api
199.37,201.96,196.78,200.85,70753100.0,Apple Inc,NASDAQ,Stock,USD,AAPL,2025-05-30 00:00:00+00:00,2025-10-06 10:28:32.648424,marketstack_api
200.15,202.13,200.12,201.7,35314257.0,Apple Inc,NASDAQ,Stock,USD,AAPL,2025-06-02 00:00:00+00:00,2025-10-06 10:28:32.648424,marketstack_api
201.35,203.77,200.96,203.27,46342500.0,Apple Inc,NASDAQ,Stock,USD,AAPL,2025-06-03 00:00:00+00:00,2025-10-06 10:28:32.648424,marketstack_api
202.91,206.24,202.15,202.82,42889828.0,Apple Inc,NASDAQ,Stock,USD,AAPL,2025-06-04 00:00:00+00:00,2025-10-06 10:28:32.648424,marketstack_api
203.5,204.75,200.15,200.63,55126100.0,Apple Inc,NASDAQ,Stock,USD,AAPL,2025-06-05 00:00:00+00:00,2025-10-06 10:28:32.648424,marketstack_api
203.0,205.7,202.05,203.92,46539200.0,Apple Inc,NASDAQ,Stock,USD,AAPL,2025-06-06 00:00:00+00:00,2025-10-06 10:28:32.648424,marketstack_api
